Checking Files
m10_00_00_00 - Depths - offset: 250 - ref file exists - msb file exists - luabnd file exists - sfx file exists
m10_01_00_00 - Undead Burg/Parish - offset: 495 - ref file exists - msb file exists - luabnd file exists - sfx file exists
m10_02_00_00 - Firelink Shrine - offset: 171 - ref file exists - msb file exists - luabnd file exists - sfx file exists
m11_00_00_00 - Painted World - offset: 259 - ref file exists - msb file exists - luabnd file exists - sfx file exists
m12_00_00_00 - Darkroot Garden - offset: 280 - ref file exists - msb file exists - luabnd file exists - sfx file exists
m12_01_00_00 - DLC - offset: 459 - ref file exists - msb file exists - luabnd file exists - sfx file exists
m12_00_00_01 - DarkRoot Garden #2 - offset: 282 - ref file exists - msb file exists - luabnd file exists - sfx file exists
m13_00_00_00 - Catacombs - offset: 254 - ref file exists - msb file exists - luabnd file exists - sfx file exists
m13_01_00_00 - Tomb of the Giants - offset: 242 - ref file exists - msb file exists - luabnd file exists - sfx file exists
m13_02_00_00 - Great Hollow & Ash Lake - offset: 180 - ref file exists - msb file exists - luabnd file exists - sfx file exists
m14_00_00_00 - Blighttown - offset: 342 - ref file exists - msb file exists - luabnd file exists - sfx file exists
m14_01_00_00 - Demon Ruins & Lost Izalith - offset: 382 - ref file exists - msb file exists - luabnd file exists - sfx file exists
m15_00_00_00 - Sen's Fortress - offset: 210 - ref file exists - msb file exists - luabnd file exists - sfx file exists
m15_01_00_00 - Anor Londo - offset: 251 - ref file exists - msb file exists - luabnd file exists - sfx file exists
m16_00_00_00 - New Londo Ruins - offset: 197 - ref file exists - msb file exists - luabnd file exists - sfx file exists
m17_00_00_00 - Duke's Archives & Crystal Cave - offset: 307 - ref file exists - msb file exists - luabnd file exists - sfx file exists
m18_00_00_00 - Kiln of the First Flame - offset: 84 - ref file exists - msb file exists - luabnd file exists - sfx file exists
m18_01_00_00 - Northern Undead Asylum - offset: 154 - ref file exists - msb file exists - luabnd file exists - sfx file exists
Loading valid targets
Done, 125 valid target enemies
Loading valid new enemies
Done, 123 valid new enemies
----
 Starting Randomization 
----
bossMode=1; enemyMode=2; npcMode=0; mimicMode=0
fitMode=0; diffMode=3; diffStrictness=1; replaceChance=100; bossChance(Normal)=10; bossChance(Boss)=90; gargoyleMode=1
tpose=0; hellkiteIgnored=0; smallEnIgnored=0
seed='1223126991'
max_unique=30
----
textconfig:
1/-/2/-/0/-/0/-/0/-/3/-/100/-/10/-/90/-/1/-/1/-/0/-/0/-/0/-/'''1223126991'''
----
Randomizing m10_00_00_00 - Depths
Replacing (c1200_0000) Rat with (c2520) Undead Assassin[26] ai = 252000; param = 252000
Replacing (c1200_0001) Rat with (c4180) Chained Prisoner[101] ai = 418000; param = 418000
Replacing (c1200_0002) Rat with (c3200) Slime[62] ai = 320000; param = 320000
Replacing (c1200_0003) Rat with (c2520) Undead Assassin[26] ai = 252000; param = 252000
Replacing (c1200_0004) Rat with (c3270) Basilisk[68] ai = 327000; param = 327000
Replacing (c1200_0005) Rat with (c3340) Undead Attack Dog[72] ai = 334000; param = 334000
Replacing (c1201_0000) Small Rat with (c1203) Snow Rat[3] ai = 120300; param = 120300
Replacing (c1201_0001) Small Rat with (c2550) Undead Soldier[29] ai = 255001; param = 255001
Replacing (c1201_0002) Small Rat with (c2270) Mushroom Parent[11] ai = 227000; param = 227000
Replacing (c1201_0003) Small Rat with (c2710) Crystal Golem[39] ai = 271000; param = 271000
Replacing (c1201_0004) Small Rat with (c4172) Humanity Phantom (large)[100] ai = 417200; param = 417200
Replacing (c1201_0005) Small Rat with (c2900) Skeleton[54] ai = 290003; param = 290002
Replacing (c1201_0006) Small Rat with (c2270) Mushroom Parent[11] ai = 227000; param = 227000
Replacing (c1201_0007) Small Rat with (c2710) Crystal Golem[39] ai = 271000; param = 271000
Replacing (c1201_0008) Small Rat with (c2950) Skeleton Beast[59] ai = 295000; param = 295000
Replacing (c1201_0009) Small Rat with (c3341) Flaming Attack Dog[73] ai = 334100; param = 334100
Replacing (c1201_0010) Small Rat with (c2800) Undead Crystal Soldier[47] ai = 280001; param = 280001
Replacing (c1201_0011) Small Rat with (c3370) Tree Lizard[75] ai = 337000; param = 337000
Replacing (c1201_0012) Small Rat with (c2060) Infested Ghoul[4] ai = 206002; param = 206002
Replacing (c1201_0013) Small Rat with (c4170) Humanity Phantom (small)[98] ai = 417000; param = 417000
Replacing (c1201_0014) Small Rat with (c2400) Painting Guardian[21] ai = 240000; param = 240000
Replacing (c1201_0015) Small Rat with (c3480) Chaos Bug[86] ai = 348000; param = 348000
Replacing (c1201_0016) Small Rat with (c1203) Snow Rat[3] ai = 120300; param = 120300
Replacing (c1201_0017) Small Rat with (c4180) Chained Prisoner[101] ai = 418000; param = 418000
Replacing (c1201_0018) Small Rat with (c2520) Undead Assassin[26] ai = 252000; param = 252000
Replacing (c1201_0019) Small Rat with (c3210) Egg Carrier[63] ai = 321000; param = 321000
Replacing (c1201_0020) Small Rat with (c2570) Berenike Knight[31] ai = 257000; param = 257000
Replacing (c1201_0021) Small Rat with (c3250) Man-Eater Shell[67] ai = 325000; param = 325000
Replacing (c1201_0022) Small Rat with (c1200) Rat[0] ai = 120000; param = 120000
